run,prompt,id,status,attempts,elapsed_ms,first_in_run,peak_pss_kb,message
ps_baseline_end,baseline,BXP-003,success,1,99616,True,3975410,
ps_baseline_end,baseline,BXP-030,failure,1,100715,False,4068049,Expected exactly one complete <a2ui> program.
ps_baseline_end,baseline,BXP-032,failure,1,190789,False,4092982,Missing source-bound component 'j'.
ps_baseline_end,baseline,BXP-037,failure,1,220753,False,4118838,Expected exactly one complete <a2ui> program.
ps_baseline_start,baseline,BXP-003,success,1,25398,True,3987514,
ps_baseline_start,baseline,BXP-030,failure,1,47589,False,4089349,Expected exactly one complete <a2ui> program.
ps_baseline_start,baseline,BXP-032,failure,1,93135,False,4127361,Missing source-bound component 'j'.
ps_baseline_start,baseline,BXP-037,failure,1,110221,False,4164769,Expected exactly one complete <a2ui> program.
ps_confirm_baseline_targeted,baseline_targeted,BXP-001,success,1,138007,True,3993864,
ps_confirm_baseline_targeted,baseline_targeted,BXP-006,success,1,118313,False,4097488,
ps_confirm_baseline_targeted,baseline_targeted,BXP-008,success,1,120836,False,4136515,
ps_confirm_baseline_targeted,baseline_targeted,BXP-013,success,1,105080,False,4177037,
ps_confirm_baseline_targeted,baseline_targeted,BXP-017,success,1,73912,False,4139321,
ps_confirm_baseline_targeted,baseline_targeted,BXP-025,failure,1,131251,False,4171404,Table.rows must use a known source binding; received '@.c'.
ps_confirm_scaffold,scaffold,BXP-001,success,1,15435,True,3954669,
ps_confirm_scaffold,scaffold,BXP-006,success,1,124776,False,4064329,
ps_confirm_scaffold,scaffold,BXP-008,success,1,97509,False,4093803,
ps_confirm_scaffold,scaffold,BXP-013,failure,1,150461,False,4153369,Table.rows must use a known source binding; received '@source.k.'.
ps_confirm_scaffold,scaffold,BXP-017,success,1,64930,False,4161797,
ps_confirm_scaffold,scaffold,BXP-025,success,1,84037,False,4182967,
ps_confirm_scaffold,scaffold,BXP-027,success,1,145709,False,4182316,
ps_confirm_scaffold,scaffold,BXP-033,success,1,143461,False,4231518,
ps_confirm_scaffold,scaffold,BXP-035,success,1,152885,False,4262098,
ps_confirm_scaffold,scaffold,BXP-038,success,1,49787,False,4270346,
ps_confirm_scaffold,scaffold,BXP-045,success,1,111050,False,4321814,
ps_confirm_scaffold,scaffold,BXP-047,success,1,169129,False,4264058,
ps_final50_scaffold_v11,gemma,BXP-001,success,1,64617,True,3940486,
ps_final50_scaffold_v11,gemma,BXP-002,success,1,75316,False,4027522,
ps_final50_scaffold_v11,gemma,BXP-003,success,1,102035,False,4051420,
ps_final50_scaffold_v11,gemma,BXP-004,success,1,158475,False,4093716,
ps_final50_scaffold_v11,gemma,BXP-005,success,1,117540,False,4137632,
ps_final50_scaffold_v11,gemma,BXP-006,success,1,151508,False,4134924,
ps_final50_scaffold_v11,gemma,BXP-007,success,1,99204,False,4150206,
ps_final50_scaffold_v11,gemma,BXP-008,success,1,97507,False,4190827,
ps_final50_scaffold_v11,gemma,BXP-009,success,1,76348,False,4220253,
ps_final50_scaffold_v11,gemma,BXP-010,success,1,103252,False,4193392,
ps_final50_scaffold_v11,gemma,BXP-011,success,1,81640,False,4211460,
ps_final50_scaffold_v11,gemma,BXP-012,success,1,93450,False,4245286,
ps_final50_scaffold_v11,gemma,BXP-013,success,2,330338,False,4274474,
ps_final50_scaffold_v11,gemma,BXP-014,success,1,87128,False,4244438,
ps_final50_scaffold_v11,gemma,BXP-015,success,1,96467,False,4266482,
ps_final50_scaffold_v11,gemma,BXP-016,success,1,61168,False,4280975,
ps_final50_scaffold_v11,gemma,BXP-017,success,1,69172,False,4290487,
ps_final50_scaffold_v11,gemma,BXP-018,success,1,95237,False,4305787,
ps_final50_scaffold_v11,gemma,BXP-019,success,1,83538,False,4319330,
ps_final50_scaffold_v11,gemma,BXP-020,success,1,72767,False,4336127,
ps_final50_scaffold_v11,gemma,BXP-021,success,1,139720,False,4317097,
ps_final50_scaffold_v11,gemma,BXP-022,success,1,128217,False,4331463,
ps_final50_scaffold_v11,gemma,BXP-023,success,1,64594,False,4349373,
ps_final50_scaffold_v11,gemma,BXP-024,success,1,32222,False,4379785,
ps_final50_scaffold_v11,gemma,BXP-025,success,1,34247,False,4382337,
ps_final50_scaffold_v11,gemma,BXP-026,success,1,55405,False,4366057,
ps_final50_scaffold_v11,gemma,BXP-027,success,1,60545,False,4415479,
ps_final50_scaffold_v11,gemma,BXP-028,success,1,38257,False,4423835,
ps_final50_scaffold_v11,gemma,BXP-029,success,2,129132,False,4447579,
