"run_id","status","exit_code","duration_sec","rendered_dir","timestamp"
"ab_json_off_20260206_184932","skipped_no_genui","","0","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\ab_json_off_20260206_184932\rendered","2026-02-18T00:23:05"
"ab_json_off20_20260206_185542","ok","0","29.67","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\ab_json_off20_20260206_185542\rendered","2026-02-18T00:23:35"
"ab_json_on_20260206_184932","skipped_no_genui","","0","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\ab_json_on_20260206_184932\rendered","2026-02-18T00:23:35"
"ab_json_on20_20260206_185542","ok","0","23.26","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\ab_json_on20_20260206_185542\rendered","2026-02-18T00:23:58"
"ab_model_g25flash20_20260207_015007","ok","0","38.58","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\ab_model_g25flash20_20260207_015007\rendered","2026-02-18T00:24:37"
"ab_model_g25pro20_20260207_015007","ok","0","23.76","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\ab_model_g25pro20_20260207_015007\rendered","2026-02-18T00:25:01"
"ab_model_g3flash20_20260206_190843","ok","0","22.97","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\ab_model_g3flash20_20260206_190843\rendered","2026-02-18T00:25:24"
"ab_model_g3pro20_20260206_190843","skipped_no_genui","","0","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\ab_model_g3pro20_20260206_190843\rendered","2026-02-18T00:25:24"
"ab_model_gauss20_20260207_015007","ok","0","22.46","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\ab_model_gauss20_20260207_015007\rendered","2026-02-18T00:25:46"
"ab_model_gemma327b20_20260207_015007","ok","0","21.81","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\ab_model_gemma327b20_20260207_015007\rendered","2026-02-18T00:26:08"
"gaussO_2","ok","0","749.26","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\gaussO_2\rendered","2026-02-18T00:38:37"
"gemini","skipped_no_genui","","0","C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\gemini\rendered","2026-02-18T00:38:37"
