"run_id","status","exit_code","duration_sec","rendered_dir","timestamp","error"
"ab_json_off_20260206_184932","skipped_no_genui","","0","C:\Users\anupk\Documents\workspace\A2UI\dataset\data\runs\ab_json_off_20260206_184932\rendered","2026-02-18T01:34:44",""
"ab_json_off20_20260206_185542","ok","0","2.06","C:\Users\anupk\Documents\workspace\A2UI\dataset\data\runs\ab_json_off20_20260206_185542\rendered","2026-02-18T01:34:46","2026-02-18 01:34:44 INFO dataset: Stage4 HTTP server started on port 55476 | 2026-02-18 01:34:45 INFO dataset: Stage4 complete. Rendered outputs stored at C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\ab_json_off20_20260206_185542\rendered"
"ab_json_on_20260206_184932","skipped_no_genui","","0","C:\Users\anupk\Documents\workspace\A2UI\dataset\data\runs\ab_json_on_20260206_184932\rendered","2026-02-18T01:34:46",""
"ab_json_on20_20260206_185542","ok","0","2.04","C:\Users\anupk\Documents\workspace\A2UI\dataset\data\runs\ab_json_on20_20260206_185542\rendered","2026-02-18T01:34:48","2026-02-18 01:34:46 INFO dataset: Stage4 HTTP server started on port 55479 | 2026-02-18 01:34:47 INFO dataset: Stage4 complete. Rendered outputs stored at C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\ab_json_on20_20260206_185542\rendered"
"ab_model_g25flash20_20260207_015007","ok","0","17.13","C:\Users\anupk\Documents\workspace\A2UI\dataset\data\runs\ab_model_g25flash20_20260207_015007\rendered","2026-02-18T01:35:05","2026-02-18 01:34:48 INFO dataset: Stage4 HTTP server started on port 55485 | 2026-02-18 01:35:04 ERROR dataset: Stage4 render error ui_id=u_000023_01: render_error: Page.wait_for_function: Timeout 15000ms exceeded.; console: error: Failed to load GenUICraft Lit renderer Error: Invalid data; expected Column |     at A2uiMessageProcessor.buildNodeRecursive (http://127.0.0.1:55485/renderer/lit/vendor/a2ui/0.8/data/model-processor.js:431:27) |     at A2uiMessageProcessor.rebuildComponentTree (http://127.0.0.1:55485/renderer/lit/vendor/a2ui/0.8/data/model-processor.js:333:38) |     at A2uiMessageProcessor.handleSurfaceUpdate (http://127.0.0.1:55485/renderer/lit/vendor/a2ui/0.8/data/model-processor.js:307:14) |     at A2uiMessageProcessor.processMessages (http://127.0.0.1:55485/renderer/lit/vendor/a2ui/0.8/data/model-processor.js:47:22) |     at renderMessages (http://127.0.0.1:55485/data/runs/ab_model_g25flash20_20260207_015007/rendered/u_000023_01.html:1462:23) |     at init (http://127.0.0.1:55485/data/runs/ab_model_g25flash20_20260207_015007/rendered/u_000023_01.html:1496:19); requestfailed: http://127.0.0.1:55485/renderer/lit/vendor/a2ui/index.js?_v=20260217.2 net::ERR_ABORTED; requestfailed: http://127.0.0.1:55485/renderer/lit/vendor/a2ui/0.8/index.js?_v=20260217.2 net::ERR_ABORTED; requestfailed: http://127.0.0.1:55485/renderer/lit/vendor/a2ui/0.8/core.js?_v=20260217.2 net::ERR_ABORTED; requestfailed: http://127.0.0.1:55485/renderer/lit/vendor/a2ui/0.8/ui/ui.js?_v=20260217.2 net::ERR_ABORTED | 2026-02-18 01:35:05 INFO dataset: Stage4 complete. Rendered outputs stored at C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\ab_model_g25flash20_20260207_015007\rendered"
"ab_model_g25pro20_20260207_015007","ok","0","2.03","C:\Users\anupk\Documents\workspace\A2UI\dataset\data\runs\ab_model_g25pro20_20260207_015007\rendered","2026-02-18T01:35:07","2026-02-18 01:35:05 INFO dataset: Stage4 HTTP server started on port 55681 | 2026-02-18 01:35:06 INFO dataset: Stage4 complete. Rendered outputs stored at C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\ab_model_g25pro20_20260207_015007\rendered"
"ab_model_g3flash20_20260206_190843","ok","0","2.04","C:\Users\anupk\Documents\workspace\A2UI\dataset\data\runs\ab_model_g3flash20_20260206_190843\rendered","2026-02-18T01:35:09","2026-02-18 01:35:07 INFO dataset: Stage4 HTTP server started on port 55684 | 2026-02-18 01:35:08 INFO dataset: Stage4 complete. Rendered outputs stored at C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\ab_model_g3flash20_20260206_190843\rendered"
"ab_model_g3pro20_20260206_190843","skipped_no_genui","","0","C:\Users\anupk\Documents\workspace\A2UI\dataset\data\runs\ab_model_g3pro20_20260206_190843\rendered","2026-02-18T01:35:09",""
"ab_model_gauss20_20260207_015007","ok","0","2.03","C:\Users\anupk\Documents\workspace\A2UI\dataset\data\runs\ab_model_gauss20_20260207_015007\rendered","2026-02-18T01:35:11","2026-02-18 01:35:09 INFO dataset: Stage4 HTTP server started on port 55687 | 2026-02-18 01:35:10 INFO dataset: Stage4 complete. Rendered outputs stored at C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\ab_model_gauss20_20260207_015007\rendered"
"ab_model_gemma327b20_20260207_015007","ok","0","2.04","C:\Users\anupk\Documents\workspace\A2UI\dataset\data\runs\ab_model_gemma327b20_20260207_015007\rendered","2026-02-18T01:35:13","2026-02-18 01:35:11 INFO dataset: Stage4 HTTP server started on port 55690 | 2026-02-18 01:35:12 INFO dataset: Stage4 complete. Rendered outputs stored at C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\ab_model_gemma327b20_20260207_015007\rendered"
