ui_id,query_id,response_id,intent,category,ir_element_count,ir_byte_size,table_domains,table_cell_coverage,information_chunking_score,image_presence,icon_presence,markdown_leak_lines,fallback_generated,screenshot_exists,screenshot_path,gaps
u_000001_01,q_000001,r_000001_01,Information Retrieval,Travel,27,6602,,0.3000,0.6640,1.0000,0.0000,0,0,1,android_device_rendered\01_u_000001_01.png,
u_000002_01,q_000002,r_000002_01,Information Retrieval,Comparison,19,4413,generic,0.8182,0.5475,0.0000,1.0000,2,0,1,android_device_rendered\02_u_000002_01.png,markdown_leakage
u_000003_01,q_000003,r_000003_01,Entertainment,Booking,41,8304,,0.0000,0.7964,1.0000,1.0000,0,0,1,android_device_rendered\03_u_000003_01.png,
u_000004_01,q_000004,r_000004_01,Entertainment,Weather,21,4442,,0.0000,0.1568,1.0000,1.0000,0,0,1,android_device_rendered\04_u_000004_01.png,weak_table_coverage;dense_text_layout
u_000005_01,q_000005,r_000005_01,product_lookup,Comparison,22,5499,generic,0.8421,0.5881,1.0000,0.0000,0,0,1,android_device_rendered\05_u_000005_01.png,
u_000006_01,q_000006,r_000006_01,product_lookup,Booking,27,6379,generic,0.7059,0.5204,1.0000,0.0000,0,0,1,android_device_rendered\06_u_000006_01.png,
u_000007_01,q_000007,r_000007_01,Booking,Booking,14,3794,generic,0.5862,0.5671,1.0000,0.0000,0,0,1,android_device_rendered\07_u_000007_01.png,
u_000008_01,q_000008,r_000008_01,Booking,Weather,2,5521,,0.0000,0.0000,0.0000,0.0000,25,1,1,android_device_rendered\08_u_000008_01.png,fallback_generated;markdown_leakage;dense_text_layout;missing_media_signal
u_000009_01,q_000009,r_000009_01,weather,Weather,2,2750,,0.0000,0.0000,0.0000,0.0000,13,1,1,android_device_rendered\09_u_000009_01.png,fallback_generated;markdown_leakage;dense_text_layout;missing_media_signal
u_000010_01,q_000010,r_000010_01,weather,Weather,22,4657,,0.3750,0.4617,1.0000,1.0000,0,0,1,android_device_rendered\10_u_000010_01.png,
u_000011_01,q_000011,r_000011_01,data visualisation,Booking,10,1738,,0.4706,0.2400,1.0000,0.0000,0,0,1,android_device_rendered\11_u_000011_01.png,weak_table_coverage;dense_text_layout
u_000012_01,q_000012,r_000012_01,data visualisation,Comparison,45,6669,generic,0.2353,0.8199,1.0000,1.0000,8,0,1,android_device_rendered\12_u_000012_01.png,markdown_leakage;weak_table_coverage
u_000013_01,q_000013,r_000013_01,Planning,Weather,36,15063,generic,0.6508,0.6976,1.0000,1.0000,0,0,1,android_device_rendered\13_u_000013_01.png,
u_000014_01,q_000014,r_000014_01,Planning,Booking,51,10982,generic,0.1846,0.8022,1.0000,1.0000,0,0,1,android_device_rendered\14_u_000014_01.png,weak_table_coverage
u_000015_01,q_000015,r_000015_01,productivity,Weather,2,4718,,0.0000,0.0000,0.0000,0.0000,44,1,1,android_device_rendered\15_u_000015_01.png,fallback_generated;markdown_leakage;dense_text_layout;missing_media_signal
u_000016_01,q_000016,r_000016_01,productivity,Booking,29,4338,,0.0000,0.8115,0.0000,0.0000,0,0,1,android_device_rendered\16_u_000016_01.png,missing_media_signal
u_000017_01,q_000017,r_000017_01,Recipe,Weather,23,5643,,0.0000,0.6095,1.0000,1.0000,0,0,1,android_device_rendered\17_u_000017_01.png,
u_000018_01,q_000018,r_000018_01,Recipe,Weather,22,4849,,0.0000,0.4276,1.0000,0.0000,0,0,1,android_device_rendered\18_u_000018_01.png,dense_text_layout
