ui_id,category,base_gaps,cand_gaps,gap_delta,status
u_000001_01,Travel,,,0,same
u_000002_01,Comparison,,,0,same
u_000003_01,Booking,,,0,same
u_000004_01,Weather,weak_table_coverage,weak_table_coverage,0,same
u_000005_01,Comparison,,,0,same
u_000006_01,Booking,,,0,same
u_000007_01,Booking,,,0,same
u_000008_01,Weather,weak_table_coverage,weak_table_coverage,0,same
u_000009_01,Weather,weak_table_coverage,weak_table_coverage,0,same
u_000010_01,Weather,,,0,same
u_000011_01,Booking,dense_text_layout;weak_table_coverage,dense_text_layout;weak_table_coverage,0,same
u_000012_01,Comparison,weak_table_coverage,weak_table_coverage,0,same
u_000013_01,Weather,,,0,same
u_000014_01,Booking,weak_table_coverage,weak_table_coverage,0,same
u_000015_01,Weather,,,0,same
u_000016_01,Booking,,,0,same
u_000017_01,Weather,,,0,same
u_000018_01,Weather,missing_media_signal,missing_media_signal,0,same
u_000019_01,Travel,weak_table_coverage,weak_table_coverage,0,same
u_000020_01,Travel,weak_table_coverage,weak_table_coverage,0,same
u_000021_01,Travel,,,0,same
u_000022_01,Booking,,,0,same
u_000023_01,Comparison,,,0,same
u_000024_01,Comparison,,,0,same
u_000025_01,Weather,dense_text_layout,dense_text_layout,0,same
u_000026_01,Travel,,,0,same
u_000027_01,Booking,,,0,same
u_000028_01,Booking,,,0,same
u_000029_01,Travel,,,0,same
u_000030_01,Booking,weak_table_coverage,weak_table_coverage,0,same
u_000031_01,Comparison,,,0,same
u_000032_01,Comparison,,,0,same
u_000033_01,Travel,,,0,same
u_000034_01,Weather,weak_table_coverage,weak_table_coverage,0,same
u_000035_01,Weather,dense_text_layout,dense_text_layout,0,same
u_000036_01,Travel,,,0,same
u_000037_01,Booking,weak_table_coverage,weak_table_coverage,0,same
u_000038_01,Booking,,,0,same
u_000039_01,Comparison,missing_media_signal,missing_media_signal,0,same
u_000040_01,Booking,weak_table_coverage,weak_table_coverage,0,same
u_000041_01,Booking,weak_table_coverage,weak_table_coverage,0,same
u_000042_01,Booking,,,0,same
u_000043_01,Comparison,weak_table_coverage,weak_table_coverage,0,same
u_000044_01,Booking,,,0,same
u_000045_01,Travel,,,0,same
u_000046_01,Booking,weak_table_coverage,weak_table_coverage,0,same
u_000047_01,Comparison,,,0,same
u_000048_01,Travel,,,0,same
u_000049_01,Comparison,,,0,same
u_000050_01,Weather,,,0,same
