index,ui_id,category,status,baseline_gaps,new_gaps,gap_delta,baseline_table_cell_coverage,new_table_cell_coverage,baseline_chunking,new_chunking,baseline_markdown_leak_lines,new_markdown_leak_lines,stitch_image,baseline_android_image,new_android_image
1,u_000001_01,Travel,same,,,0,0.3000,0.1750,0.6640,0.7713,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\01_r_000001_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\01_u_000001_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\01_u_000001_01.png
2,u_000002_01,Comparison,improved,markdown_leakage,,-1,0.8182,0.8182,0.5475,0.7810,2,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\02_r_000002_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\02_u_000002_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\02_u_000002_01.png
3,u_000003_01,Booking,same,,,0,0.0000,0.0000,0.7964,0.7923,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\03_r_000003_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\03_u_000003_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\03_u_000003_01.png
4,u_000004_01,Weather,improved,dense_text_layout;weak_table_coverage,weak_table_coverage,-1,0.0000,0.0000,0.1568,0.5865,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\04_r_000004_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\04_u_000004_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\04_u_000004_01.png
5,u_000005_01,Comparison,same,,,0,0.8421,0.8421,0.5881,0.5678,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\05_r_000005_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\05_u_000005_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\05_u_000005_01.png
6,u_000006_01,Booking,same,,,0,0.7059,0.7059,0.5204,0.8067,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\06_r_000006_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\06_u_000006_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\06_u_000006_01.png
7,u_000007_01,Booking,same,,,0,0.5862,0.5862,0.5671,0.7148,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\07_r_000007_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\07_u_000007_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\07_u_000007_01.png
8,u_000008_01,Weather,improved,dense_text_layout;fallback_generated;markdown_leakage;missing_media_signal,weak_table_coverage,-3,0.0000,0.3538,0.0000,0.8789,25,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\08_r_000008_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\08_u_000008_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\08_u_000008_01.png
9,u_000009_01,Weather,improved,dense_text_layout;fallback_generated;markdown_leakage;missing_media_signal,weak_table_coverage,-3,0.0000,0.5385,0.0000,0.7231,13,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\09_r_000009_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\09_u_000009_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\09_u_000009_01.png
10,u_000010_01,Weather,same,,,0,0.3750,0.3750,0.4617,0.5667,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\10_r_000010_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\10_u_000010_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\10_u_000010_01.png
11,u_000011_01,Booking,same,dense_text_layout;weak_table_coverage,dense_text_layout;weak_table_coverage,0,0.4706,0.4706,0.2400,0.3000,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\11_r_000011_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\11_u_000011_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\11_u_000011_01.png
12,u_000012_01,Comparison,improved,markdown_leakage;weak_table_coverage,weak_table_coverage,-1,0.2353,0.3235,0.8199,0.7750,8,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\12_r_000012_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\12_u_000012_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\12_u_000012_01.png
13,u_000013_01,Weather,same,,,0,0.6508,0.6508,0.6976,0.8485,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\13_r_000013_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\13_u_000013_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\13_u_000013_01.png
14,u_000014_01,Booking,same,weak_table_coverage,weak_table_coverage,0,0.1846,0.1846,0.8022,0.9244,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\14_r_000014_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\14_u_000014_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\14_u_000014_01.png
15,u_000015_01,Weather,improved,dense_text_layout;fallback_generated;markdown_leakage;missing_media_signal,,-4,0.0000,0.7059,0.0000,0.8837,44,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\15_r_000015_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\15_u_000015_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\15_u_000015_01.png
16,u_000016_01,Booking,improved,missing_media_signal,,-1,0.0000,0.0000,0.8115,0.8147,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\16_r_000016_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\16_u_000016_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\16_u_000016_01.png
17,u_000017_01,Weather,same,,,0,0.0000,0.7500,0.6095,0.7191,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\17_r_000017_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\17_u_000017_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\17_u_000017_01.png
18,u_000018_01,Weather,changed_same_count,dense_text_layout,missing_media_signal,0,0.0000,0.7647,0.4276,0.4574,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\18_r_000018_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\18_u_000018_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\18_u_000018_01.png
19,u_000019_01,Travel,same,weak_table_coverage,weak_table_coverage,0,0.5172,0.5172,0.8405,0.8496,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\19_r_000019_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\19_u_000019_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\19_u_000019_01.png
20,u_000020_01,Travel,same,weak_table_coverage,weak_table_coverage,0,0.4750,0.5250,0.5377,0.7508,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\20_r_000020_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\20_u_000020_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\20_u_000020_01.png
21,u_000021_01,Travel,improved,markdown_leakage,,-1,0.6364,0.6364,0.8563,0.9164,17,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\21_r_000021_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\21_u_000021_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\21_u_000021_01.png
22,u_000022_01,Booking,same,,,0,0.0000,0.0000,0.9241,0.9297,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\22_r_000022_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\22_u_000022_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\22_u_000022_01.png
23,u_000023_01,Comparison,improved,missing_media_signal,,-1,0.0000,0.0000,0.5323,0.6789,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\23_r_000023_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\23_u_000023_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\23_u_000023_01.png
24,u_000024_01,Comparison,improved,dense_text_layout,,-1,0.0000,0.0000,0.4098,0.7846,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\24_r_000024_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\24_u_000024_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\24_u_000024_01.png
25,u_000025_01,Weather,same,dense_text_layout,dense_text_layout,0,0.5556,0.5556,0.2642,0.3502,0,0,stitch\outputs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634_stitch_20260414_195050\images\25_r_000025_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_android_promptsync_20260413_010634\android_device_rendered\25_u_000025_01.png,dataset\data\runs\golden50_g25pro_20260309_204033_stitch_compare_20260417_r1\android_device_rendered\25_u_000025_01.png
