ui_id,query_id,response_id,intent,category,ir_element_count,ir_byte_size,table_domains,table_cell_coverage,information_chunking_score,image_presence,icon_presence,markdown_leak_lines,fallback_generated,screenshot_exists,screenshot_path,gaps
u_000001_01,q_000001,r_000001_01,Information Retrieval,Travel,28,6114,,0.1750,0.7713,1.0000,0.0000,0,0,1,android_device_rendered\01_u_000001_01.png,
u_000002_01,q_000002,r_000002_01,Information Retrieval,Comparison,21,4116,comparison,0.8182,0.7810,0.0000,1.0000,0,0,1,android_device_rendered\02_u_000002_01.png,
u_000003_01,q_000003,r_000003_01,Entertainment,Booking,37,7476,,0.0000,0.7923,1.0000,1.0000,0,0,1,android_device_rendered\03_u_000003_01.png,
u_000004_01,q_000004,r_000004_01,Entertainment,Weather,16,3108,,0.0000,0.5865,1.0000,1.0000,0,0,1,android_device_rendered\04_u_000004_01.png,weak_table_coverage
u_000005_01,q_000005,r_000005_01,product_lookup,Comparison,16,3923,comparison,0.8421,0.5678,1.0000,0.0000,0,0,1,android_device_rendered\05_u_000005_01.png,
u_000006_01,q_000006,r_000006_01,product_lookup,Booking,46,7957,comparison,0.7059,0.8067,1.0000,1.0000,0,0,1,android_device_rendered\06_u_000006_01.png,
u_000007_01,q_000007,r_000007_01,Booking,Booking,34,5610,comparison,0.5862,0.7148,1.0000,1.0000,0,0,1,android_device_rendered\07_u_000007_01.png,
u_000008_01,q_000008,r_000008_01,Booking,Weather,62,11361,flight,0.3538,0.8789,1.0000,1.0000,0,0,1,android_device_rendered\08_u_000008_01.png,weak_table_coverage
u_000009_01,q_000009,r_000009_01,weather,Weather,32,5949,comparison,0.5385,0.7231,1.0000,1.0000,0,0,1,android_device_rendered\09_u_000009_01.png,weak_table_coverage
u_000010_01,q_000010,r_000010_01,weather,Weather,27,4741,,0.3750,0.5667,1.0000,0.0000,0,0,1,android_device_rendered\10_u_000010_01.png,
u_000011_01,q_000011,r_000011_01,data visualisation,Booking,13,1999,generic,0.4706,0.3000,1.0000,0.0000,0,0,1,android_device_rendered\11_u_000011_01.png,weak_table_coverage;dense_text_layout
u_000012_01,q_000012,r_000012_01,data visualisation,Comparison,33,5802,"comparison,schedule,status",0.3235,0.7077,1.0000,1.0000,0,0,1,android_device_rendered\12_u_000012_01.png,weak_table_coverage
u_000013_01,q_000013,r_000013_01,Planning,Weather,34,10588,"generic,schedule",0.6508,0.8485,1.0000,1.0000,0,0,1,android_device_rendered\13_u_000013_01.png,
u_000014_01,q_000014,r_000014_01,Planning,Booking,50,9051,schedule,0.1846,0.8601,1.0000,1.0000,0,0,1,android_device_rendered\14_u_000014_01.png,weak_table_coverage
u_000015_01,q_000015,r_000015_01,productivity,Weather,57,9168,schedule,0.7059,0.8837,0.0000,1.0000,0,0,1,android_device_rendered\15_u_000015_01.png,
u_000016_01,q_000016,r_000016_01,productivity,Booking,41,6062,,0.0000,0.8147,0.0000,1.0000,0,0,1,android_device_rendered\16_u_000016_01.png,
u_000017_01,q_000017,r_000017_01,Recipe,Weather,28,6604,generic,0.7500,0.7191,1.0000,1.0000,0,0,1,android_device_rendered\17_u_000017_01.png,
u_000018_01,q_000018,r_000018_01,Recipe,Weather,15,6505,generic,0.7647,0.4574,0.0000,0.0000,0,0,1,android_device_rendered\18_u_000018_01.png,missing_media_signal
u_000019_01,q_000019,r_000019_01,Localization,Travel,36,6832,booking,0.5172,0.8496,1.0000,0.0000,0,0,1,android_device_rendered\19_u_000019_01.png,weak_table_coverage
u_000020_01,q_000020,r_000020_01,Localization,Travel,34,6673,schedule,0.5250,0.7508,1.0000,1.0000,0,0,1,android_device_rendered\20_u_000020_01.png,weak_table_coverage
u_000021_01,q_000021,r_000021_01,Technical support,Travel,43,7556,generic,0.6364,0.8787,1.0000,0.0000,0,0,1,android_device_rendered\21_u_000021_01.png,
u_000022_01,q_000022,r_000022_01,Technical support,Booking,40,6473,,0.0000,0.9195,0.0000,1.0000,0,0,1,android_device_rendered\22_u_000022_01.png,
u_000023_01,q_000023,r_000023_01,Creating Writing,Comparison,38,6588,,0.0000,0.6789,0.0000,1.0000,0,0,1,android_device_rendered\23_u_000023_01.png,
u_000024_01,q_000024,r_000024_01,Creating Writing,Comparison,44,7084,,0.0000,0.7846,1.0000,1.0000,0,0,1,android_device_rendered\24_u_000024_01.png,
u_000025_01,q_000025,r_000025_01,Event Schedule,Weather,16,3480,schedule,0.5556,0.3016,1.0000,1.0000,0,0,1,android_device_rendered\25_u_000025_01.png,dense_text_layout
u_000026_01,q_000026,r_000026_01,Event Schedule,Travel,31,6451,schedule,0.8286,0.7994,1.0000,1.0000,0,0,1,android_device_rendered\26_u_000026_01.png,
u_000027_01,q_000027,r_000027_01,Research Analysis,Booking,29,5001,comparison,0.5909,0.7653,0.0000,1.0000,0,0,1,android_device_rendered\27_u_000027_01.png,
u_000028_01,q_000028,r_000028_01,Research Analysis,Booking,25,5298,comparison,0.6667,0.7873,1.0000,0.0000,0,0,1,android_device_rendered\28_u_000028_01.png,
u_000029_01,q_000029,r_000029_01,Comparison,Travel,34,8179,comparison,0.7143,0.6422,1.0000,1.0000,0,0,1,android_device_rendered\29_u_000029_01.png,
u_000030_01,q_000030,r_000030_01,Comparison,Booking,33,7351,comparison,0.5455,0.7160,1.0000,1.0000,0,0,1,android_device_rendered\30_u_000030_01.png,weak_table_coverage
u_000031_01,q_000031,r_000031_01,calculation,Comparison,30,5046,,0.5909,0.6378,1.0000,0.0000,0,0,1,android_device_rendered\31_u_000031_01.png,
u_000032_01,q_000032,r_000032_01,calculation,Comparison,34,5664,schedule,0.6970,0.8453,1.0000,0.0000,0,0,1,android_device_rendered\32_u_000032_01.png,
