ui_id,query_id,response_id,intent,category,ir_element_count,ir_byte_size,table_domains,table_cell_coverage,information_chunking_score,image_presence,icon_presence,markdown_leak_lines,fallback_generated,screenshot_exists,screenshot_path,gaps
u_000001_01,q_000001,r_000001_01,Information Retrieval,Travel,27,6673,comparison,1.0000,0.6562,1.0000,1.0000,0,0,1,android_device_rendered\01_u_000001_01.png,
u_000002_01,q_000002,r_000002_01,Information Retrieval,Comparison,12,3154,comparison,1.0000,0.6580,0.0000,0.0000,0,0,1,android_device_rendered\02_u_000002_01.png,missing_media_signal
u_000003_01,q_000003,r_000003_01,Entertainment,Education,37,6296,,0.0000,0.8578,0.0000,1.0000,0,0,1,android_device_rendered\03_u_000003_01.png,
u_000004_01,q_000004,r_000004_01,Entertainment,Entertainment,40,6695,,0.0000,0.8797,0.0000,0.0000,0,0,1,android_device_rendered\04_u_000004_01.png,
u_000005_01,q_000005,r_000005_01,product_lookup,Data_visualisation,12,3873,comparison,1.0000,0.4849,0.0000,1.0000,0,0,1,android_device_rendered\05_u_000005_01.png,
u_000006_01,q_000006,r_000006_01,product_lookup,Booking,39,7906,comparison,1.0000,0.7978,0.0000,1.0000,0,0,1,android_device_rendered\06_u_000006_01.png,
u_000007_01,q_000007,r_000007_01,Booking,Booking,24,4979,comparison,1.0000,0.7412,0.0000,1.0000,0,0,1,android_device_rendered\07_u_000007_01.png,
u_000008_01,q_000008,r_000008_01,Booking,Weather,38,9114,flight,1.0000,0.7968,0.0000,1.0000,0,0,1,android_device_rendered\08_u_000008_01.png,
u_000009_01,q_000009,r_000009_01,weather,Weather,21,4722,weather,1.0000,0.6878,1.0000,1.0000,0,0,1,android_device_rendered\09_u_000009_01.png,
u_000010_01,q_000010,r_000010_01,weather,Weather,39,6635,weather,1.0000,0.8249,0.0000,1.0000,0,0,1,android_device_rendered\10_u_000010_01.png,
u_000011_01,q_000011,r_000011_01,data visualisation,Data_visualisation,14,2557,generic,1.0000,0.4873,0.0000,1.0000,0,0,1,android_device_rendered\11_u_000011_01.png,
u_000012_01,q_000012,r_000012_01,data visualisation,Data_visualisation,19,4351,"comparison,schedule,status",1.0000,0.7593,0.0000,0.0000,0,0,1,android_device_rendered\12_u_000012_01.png,
u_000013_01,q_000013,r_000013_01,Planning,Travel,66,12288,generic,1.0000,0.8830,0.0000,1.0000,0,0,1,android_device_rendered\13_u_000013_01.png,
u_000014_01,q_000014,r_000014_01,Planning,Productivity,22,5653,schedule,1.0000,0.5181,0.0000,1.0000,0,0,1,android_device_rendered\14_u_000014_01.png,
u_000015_01,q_000015,r_000015_01,productivity,Event_schedule,79,11526,,0.0000,0.8826,0.0000,1.0000,0,0,1,android_device_rendered\15_u_000015_01.png,
u_000016_01,q_000016,r_000016_01,productivity,Event_schedule,19,3881,schedule,1.0000,0.6421,0.0000,1.0000,0,0,1,android_device_rendered\16_u_000016_01.png,
u_000017_01,q_000017,r_000017_01,Recipe,Recipe,41,6556,,0.0000,0.9086,1.0000,1.0000,0,0,1,android_device_rendered\17_u_000017_01.png,
u_000018_01,q_000018,r_000018_01,Recipe,Recipe,83,12071,,0.0000,0.9323,0.0000,1.0000,0,0,1,android_device_rendered\18_u_000018_01.png,
u_000019_01,q_000019,r_000019_01,Localization,Travel,25,6598,comparison,1.0000,0.5129,0.0000,1.0000,0,0,1,android_device_rendered\19_u_000019_01.png,
u_000020_01,q_000020,r_000020_01,Localization,Travel,36,6428,,0.0000,0.8270,0.0000,1.0000,0,0,1,android_device_rendered\20_u_000020_01.png,
u_000021_01,q_000021,r_000021_01,Technical support,Travel,44,8119,,0.0000,0.8288,0.0000,1.0000,0,0,1,android_device_rendered\21_u_000021_01.png,
u_000022_01,q_000022,r_000022_01,Technical support,Technical_Support,22,6224,generic,1.0000,0.6594,0.0000,0.0000,0,0,1,android_device_rendered\22_u_000022_01.png,
u_000023_01,q_000023,r_000023_01,Creating Writing,Creative_writing,55,7365,,0.0000,0.7575,0.0000,1.0000,0,0,1,android_device_rendered\23_u_000023_01.png,
u_000024_01,q_000024,r_000024_01,Creating Writing,Comparison,22,4070,,0.0000,0.7436,0.0000,1.0000,0,0,1,android_device_rendered\24_u_000024_01.png,
u_000025_01,q_000025,r_000025_01,Event Schedule,Event_schedule,11,3746,schedule,1.0000,0.5195,0.0000,0.0000,0,0,1,android_device_rendered\25_u_000025_01.png,
u_000026_01,q_000026,r_000026_01,Event Schedule,Event_schedule,36,7202,schedule,1.0000,0.8239,0.0000,1.0000,0,0,1,android_device_rendered\26_u_000026_01.png,
u_000027_01,q_000027,r_000027_01,Research Analysis,Booking,33,5373,comparison,1.0000,0.7660,0.0000,1.0000,0,0,1,android_device_rendered\27_u_000027_01.png,
u_000028_01,q_000028,r_000028_01,Research Analysis,Comparison,12,4952,comparison,1.0000,0.7746,0.0000,0.0000,0,0,1,android_device_rendered\28_u_000028_01.png,missing_media_signal
u_000029_01,q_000029,r_000029_01,Comparison,Comparison,10,4907,comparison,1.0000,0.2416,0.0000,0.0000,0,0,1,android_device_rendered\29_u_000029_01.png,dense_text_layout;missing_media_signal
u_000030_01,q_000030,r_000030_01,Comparison,Comparison,34,7733,comparison,1.0000,0.7369,0.0000,1.0000,0,0,1,android_device_rendered\30_u_000030_01.png,
u_000031_01,q_000031,r_000031_01,calculation,Calculation,19,4305,generic,1.0000,0.5849,0.0000,1.0000,0,0,1,android_device_rendered\31_u_000031_01.png,
u_000032_01,q_000032,r_000032_01,calculation,Comparison,18,3820,schedule,1.0000,0.7224,0.0000,0.0000,0,0,1,android_device_rendered\32_u_000032_01.png,missing_media_signal
u_000033_01,q_000033,r_000033_01,Travel,Travel,52,7288,,0.0000,0.8779,0.0000,1.0000,0,0,1,android_device_rendered\33_u_000033_01.png,
u_000034_01,q_000034,r_000034_01,Travel,Travel,62,11383,,0.0000,0.9263,1.0000,1.0000,0,0,1,android_device_rendered\34_u_000034_01.png,
u_000035_01,q_000035,r_000035_01,Navigation,Travel,14,3897,comparison,1.0000,0.5310,0.0000,0.0000,0,0,1,android_device_rendered\35_u_000035_01.png,missing_media_signal
u_000036_01,q_000036,r_000036_01,Navigation,Travel,29,4820,,0.0000,0.8131,0.0000,0.0000,0,0,1,android_device_rendered\36_u_000036_01.png,missing_media_signal
