source_run,ui_id,intent_bucket,model,v4_quality_0_100,v5_quality_0_100,delta_v5_minus_v4,v5_active_caps
metric_v4_g25_fixed10_20260721_gemini_2_5_flash,u_self_001_01,weather,gemini-2.5-flash,96.94426106922823,96.31904372107081,-0.6252173481574204,
metric_v4_g25_fixed10_20260721_gemini_2_5_flash,u_self_002_01,travel,gemini-2.5-flash,98.66960561818257,96.5967044171815,-2.0729012010010734,
metric_v4_g25_fixed10_20260721_gemini_2_5_flash,u_self_003_01,booking,gemini-2.5-flash,89.90153071500382,94.14103985389171,4.239509138887897,
metric_v4_g25_fixed10_20260721_gemini_2_5_flash,u_self_004_01,shopping,gemini-2.5-flash,93.38600189694158,91.82063600575455,-1.565365891187028,partial_action
metric_v4_g25_fixed10_20260721_gemini_2_5_flash,u_self_005_01,entertainment,gemini-2.5-flash,82.24899748634984,87.46759059567121,5.218593109321375,
metric_v4_g25_fixed10_20260721_gemini_2_5_flash,u_self_006_01,travel,gemini-2.5-flash,77.4380875676281,63.24484499185598,-14.193242575772125,missing_action
metric_v4_g25_fixed10_20260721_gemini_2_5_flash,u_self_007_01,calculation,gemini-2.5-flash,99.59039094560731,96.86360121170338,-2.726789733903928,
metric_v4_g25_fixed10_20260721_gemini_2_5_flash,u_self_008_01,writing,gemini-2.5-flash,72.26350978879242,75.0,2.736490211207581,missing_action
metric_v4_g25_fixed10_20260721_gemini_2_5_flash,u_self_009_01,tech_support,gemini-2.5-flash,78.0,78.0,0.0,missing_special_role
metric_v4_g25_fixed10_20260721_gemini_2_5_flash,u_self_010_01,planning,gemini-2.5-flash,74.1349681213587,62.752998776377524,-11.381969344981172,missing_table
metric_v4_g25_fixed10_20260721_gemini_2_5_flash_lite,u_self_002_01,travel,gemini-2.5-flash-lite,91.24091708680336,88.5098562508509,-2.731060835952462,partial_action
metric_v4_g25_fixed10_20260721_gemini_2_5_flash_lite,u_self_003_01,booking,gemini-2.5-flash-lite,93.43722812348456,92.98641532971145,-0.45081279377311034,
metric_v4_g25_fixed10_20260721_gemini_2_5_flash_lite,u_self_004_01,shopping,gemini-2.5-flash-lite,70.0,70.0,0.0,partial_action|partial_reachability
metric_v4_g25_fixed10_20260721_gemini_2_5_flash_lite,u_self_005_01,entertainment,gemini-2.5-flash-lite,78.21661161927155,74.13474929322405,-4.081862326047499,partial_action
metric_v4_g25_fixed10_20260721_gemini_2_5_flash_lite,u_self_001_01,weather,gemini-2.5-flash-lite,95.7346826133341,94.77560039464942,-0.959082218684685,partial_action
metric_v4_g25_fixed10_20260721_gemini_2_5_flash_lite,u_self_006_01,travel,gemini-2.5-flash-lite,82.79172457605615,91.59751409202642,8.805789515970261,
metric_v4_g25_fixed10_20260721_gemini_2_5_flash_lite,u_self_009_01,tech_support,gemini-2.5-flash-lite,65.93984139092908,71.05391434662481,5.1140729556957325,missing_action|missing_special_role
metric_v4_g25_fixed10_20260721_gemini_2_5_flash_lite,u_self_010_01,planning,gemini-2.5-flash-lite,98.74749405231556,98.35859558555217,-0.38889846676339346,
metric_v4_g25_fixed10_20260721_gemini_2_5_flash_lite,u_self_007_01,calculation,gemini-2.5-flash-lite,40.0,40.0,0.0,missing_special_role|reachability_below_90
metric_v4_g25_fixed10_20260721_gemini_2_5_flash_lite,u_self_008_01,writing,gemini-2.5-flash-lite,75.0,71.85379097032015,-3.146209029679852,missing_action
