target_score,bucket_aggregate_score,ui_id,response_id,intent,actual_sample_score,screenshot,human_rating_1_5,notes
40,42.01,s040_01_u_self_01_01,r_self_001_01,Weather,29.79,android_device_rendered/01_s040_01_u_self_01_01.png,,
50,50.29,s050_01_u_self_01_01,r_self_001_01,Weather,37.11,android_device_rendered/02_s050_01_u_self_01_01.png,,
60,60.11,s060_01_u_self_01_01,r_self_001_01,Weather,46.61,android_device_rendered/03_s060_01_u_self_01_01.png,,
70,71.1,s070_01_u_self_01_01,r_self_001_01,Weather,58.51,android_device_rendered/04_s070_01_u_self_01_01.png,,
80,81.41,s080_01_u_self_01_01,r_self_001_01,Weather,68.33,android_device_rendered/05_s080_01_u_self_01_01.png,,
90,92.33,s090_01_u_self_01_01,r_self_001_01,Weather,78.62,android_device_rendered/06_s090_01_u_self_01_01.png,,
100,100.0,s100_01_u_self_01_01,r_self_001_01,Weather,91.01,android_device_rendered/07_s100_01_u_self_01_01.png,,
40,42.01,s040_02_u_self_02_01,r_self_002_01,Travel,30.5,android_device_rendered/08_s040_02_u_self_02_01.png,,
50,50.29,s050_02_u_self_02_01,r_self_002_01,Travel,42.7,android_device_rendered/09_s050_02_u_self_02_01.png,,
60,60.11,s060_02_u_self_02_01,r_self_002_01,Travel,56.47,android_device_rendered/10_s060_02_u_self_02_01.png,,
70,71.1,s070_02_u_self_02_01,r_self_002_01,Travel,59.75,android_device_rendered/11_s070_02_u_self_02_01.png,,
80,81.41,s080_02_u_self_02_01,r_self_002_01,Travel,68.56,android_device_rendered/12_s080_02_u_self_02_01.png,,
90,92.33,s090_02_u_self_02_01,r_self_002_01,Travel,82.98,android_device_rendered/13_s090_02_u_self_02_01.png,,
100,100.0,s100_02_u_self_02_01,r_self_002_01,Travel,89.85,android_device_rendered/14_s100_02_u_self_02_01.png,,
40,42.01,s040_03_u_self_03_01,r_self_003_01,Booking,30.66,android_device_rendered/15_s040_03_u_self_03_01.png,,
50,50.29,s050_03_u_self_03_01,r_self_003_01,Booking,42.59,android_device_rendered/16_s050_03_u_self_03_01.png,,
60,60.11,s060_03_u_self_03_01,r_self_003_01,Booking,49.44,android_device_rendered/17_s060_03_u_self_03_01.png,,
70,71.1,s070_03_u_self_03_01,r_self_003_01,Booking,61.18,android_device_rendered/18_s070_03_u_self_03_01.png,,
80,81.41,s080_03_u_self_03_01,r_self_003_01,Booking,71.45,android_device_rendered/19_s080_03_u_self_03_01.png,,
90,92.33,s090_03_u_self_03_01,r_self_003_01,Booking,79.74,android_device_rendered/20_s090_03_u_self_03_01.png,,
100,100.0,s100_03_u_self_03_01,r_self_003_01,Booking,85.83,android_device_rendered/21_s100_03_u_self_03_01.png,,
40,42.01,s040_04_u_self_04_01,r_self_004_01,Shopping,30.0,android_device_rendered/22_s040_04_u_self_04_01.png,,
50,50.29,s050_04_u_self_04_01,r_self_004_01,Shopping,37.04,android_device_rendered/23_s050_04_u_self_04_01.png,,
60,60.11,s060_04_u_self_04_01,r_self_004_01,Shopping,46.96,android_device_rendered/24_s060_04_u_self_04_01.png,,
70,71.1,s070_04_u_self_04_01,r_self_004_01,Shopping,58.13,android_device_rendered/25_s070_04_u_self_04_01.png,,
80,81.41,s080_04_u_self_04_01,r_self_004_01,Shopping,70.7,android_device_rendered/26_s080_04_u_self_04_01.png,,
90,92.33,s090_04_u_self_04_01,r_self_004_01,Shopping,85.76,android_device_rendered/27_s090_04_u_self_04_01.png,,
100,100.0,s100_04_u_self_04_01,r_self_004_01,Shopping,98.31,android_device_rendered/28_s100_04_u_self_04_01.png,,
40,42.01,s040_05_u_self_05_01,r_self_005_01,Entertainment,30.24,android_device_rendered/29_s040_05_u_self_05_01.png,,
50,50.29,s050_05_u_self_05_01,r_self_005_01,Entertainment,37.31,android_device_rendered/30_s050_05_u_self_05_01.png,,
60,60.11,s060_05_u_self_05_01,r_self_005_01,Entertainment,47.3,android_device_rendered/31_s060_05_u_self_05_01.png,,
70,71.1,s070_05_u_self_05_01,r_self_005_01,Entertainment,59.85,android_device_rendered/32_s070_05_u_self_05_01.png,,
80,81.41,s080_05_u_self_05_01,r_self_005_01,Entertainment,73.71,android_device_rendered/33_s080_05_u_self_05_01.png,,
90,92.33,s090_05_u_self_05_01,r_self_005_01,Entertainment,88.89,android_device_rendered/34_s090_05_u_self_05_01.png,,
100,100.0,s100_05_u_self_05_01,r_self_005_01,Entertainment,94.77,android_device_rendered/35_s100_05_u_self_05_01.png,,
40,42.01,s040_06_u_self_06_01,r_self_006_01,Travel,30.08,android_device_rendered/36_s040_06_u_self_06_01.png,,
50,50.29,s050_06_u_self_06_01,r_self_006_01,Travel,37.17,android_device_rendered/37_s050_06_u_self_06_01.png,,
60,60.11,s060_06_u_self_06_01,r_self_006_01,Travel,47.82,android_device_rendered/38_s060_06_u_self_06_01.png,,
70,71.1,s070_06_u_self_06_01,r_self_006_01,Travel,59.29,android_device_rendered/39_s070_06_u_self_06_01.png,,
80,81.41,s080_06_u_self_06_01,r_self_006_01,Travel,69.88,android_device_rendered/40_s080_06_u_self_06_01.png,,
90,92.33,s090_06_u_self_06_01,r_self_006_01,Travel,82.11,android_device_rendered/41_s090_06_u_self_06_01.png,,
100,100.0,s100_06_u_self_06_01,r_self_006_01,Travel,99.18,android_device_rendered/42_s100_06_u_self_06_01.png,,
40,42.01,s040_07_u_self_07_01,r_self_007_01,Calculation,31.65,android_device_rendered/43_s040_07_u_self_07_01.png,,
50,50.29,s050_07_u_self_07_01,r_self_007_01,Calculation,38.82,android_device_rendered/44_s050_07_u_self_07_01.png,,
60,60.11,s060_07_u_self_07_01,r_self_007_01,Calculation,49.65,android_device_rendered/45_s060_07_u_self_07_01.png,,
70,71.1,s070_07_u_self_07_01,r_self_007_01,Calculation,62.02,android_device_rendered/46_s070_07_u_self_07_01.png,,
80,81.41,s080_07_u_self_07_01,r_self_007_01,Calculation,70.4,android_device_rendered/47_s080_07_u_self_07_01.png,,
90,92.33,s090_07_u_self_07_01,r_self_007_01,Calculation,78.82,android_device_rendered/48_s090_07_u_self_07_01.png,,
100,100.0,s100_07_u_self_07_01,r_self_007_01,Calculation,84.82,android_device_rendered/49_s100_07_u_self_07_01.png,,
40,42.01,s040_08_u_self_08_01,r_self_008_01,Writing,30.52,android_device_rendered/50_s040_08_u_self_08_01.png,,
50,50.29,s050_08_u_self_08_01,r_self_008_01,Writing,38.27,android_device_rendered/51_s050_08_u_self_08_01.png,,
60,60.11,s060_08_u_self_08_01,r_self_008_01,Writing,47.92,android_device_rendered/52_s060_08_u_self_08_01.png,,
70,71.1,s070_08_u_self_08_01,r_self_008_01,Writing,59.2,android_device_rendered/53_s070_08_u_self_08_01.png,,
80,81.41,s080_08_u_self_08_01,r_self_008_01,Writing,70.28,android_device_rendered/54_s080_08_u_self_08_01.png,,
90,92.33,s090_08_u_self_08_01,r_self_008_01,Writing,74.89,android_device_rendered/55_s090_08_u_self_08_01.png,,
100,100.0,s100_08_u_self_08_01,r_self_008_01,Writing,80.92,android_device_rendered/56_s100_08_u_self_08_01.png,,
40,42.01,s040_09_u_self_09_01,r_self_009_01,Tech Support,30.52,android_device_rendered/57_s040_09_u_self_09_01.png,,
50,50.29,s050_09_u_self_09_01,r_self_009_01,Tech Support,38.12,android_device_rendered/58_s050_09_u_self_09_01.png,,
60,60.11,s060_09_u_self_09_01,r_self_009_01,Tech Support,47.62,android_device_rendered/59_s060_09_u_self_09_01.png,,
70,71.1,s070_09_u_self_09_01,r_self_009_01,Tech Support,57.82,android_device_rendered/60_s070_09_u_self_09_01.png,,
80,81.41,s080_09_u_self_09_01,r_self_009_01,Tech Support,69.65,android_device_rendered/61_s080_09_u_self_09_01.png,,
90,92.33,s090_09_u_self_09_01,r_self_009_01,Tech Support,78.0,android_device_rendered/62_s090_09_u_self_09_01.png,,
100,100.0,s100_09_u_self_09_01,r_self_009_01,Tech Support,84.61,android_device_rendered/63_s100_09_u_self_09_01.png,,
40,42.01,s040_10_u_self_10_01,r_self_010_01,Planning,30.14,android_device_rendered/64_s040_10_u_self_10_01.png,,
50,50.29,s050_10_u_self_10_01,r_self_010_01,Planning,37.77,android_device_rendered/65_s050_10_u_self_10_01.png,,
60,60.11,s060_10_u_self_10_01,r_self_010_01,Planning,45.36,android_device_rendered/66_s060_10_u_self_10_01.png,,
