target_score,actual_score,response_slot,response_id,ui_id,source_run,source_ui_id,score_delta
40,49.1284,1,r_000012_01,s040_r01_u_000012_01,azure_gpt54_reasoning32_20260618_214045\gpt54_mini_reasoning_medium,u_000012_01,9.1284
50,49.1284,1,r_000012_01,s050_r01_u_000012_01,azure_gpt54_reasoning32_20260618_214045\gpt54_mini_reasoning_medium,u_000012_01,-0.8716
60,68.814,1,r_000012_01,s060_r01_u_000012_01,azure_gpt54_reasoning32_20260618_214045\gpt54_no_reasoning,u_000012_01,8.814
70,70.7561,1,r_000012_01,s070_r01_u_000012_01,azure_gpt54_reasoning32_20260618_214045\gpt54_reasoning_medium,u_000012_01,0.7561
80,82.1285,1,r_000012_01,s080_r01_u_000012_01,dataset_gpt54_no_reasoning_p5_20260619_merged,u_000012_01,2.1285
90,89.6249,1,r_000012_01,s090_r01_u_000012_01,dataset_gpt54_no_reasoning_p5_20260619_part03,u_000012_01,-0.3751
100,100.0,1,r_000012_01,s100_r01_u_000012_01,dataset_gpt54_no_reasoning_20k_20260619,u_000012_01,0.0
40,53.5208,2,r_000017_01,s040_r02_u_000017_01,azure_gpt54_reasoning32_20260618_214045\gpt54_mini_reasoning_medium,u_000017_01,13.5208
50,53.5208,2,r_000017_01,s050_r02_u_000017_01,azure_gpt54_reasoning32_20260618_214045\gpt54_mini_reasoning_medium,u_000017_01,3.5208
60,53.5208,2,r_000017_01,s060_r02_u_000017_01,azure_gpt54_reasoning32_20260618_214045\gpt54_mini_reasoning_medium,u_000017_01,-6.4792
70,75.914,2,r_000017_01,s070_r02_u_000017_01,azure_gpt54_reasoning32_20260618_214045\gpt54_no_reasoning,u_000017_01,5.914
80,75.914,2,r_000017_01,s080_r02_u_000017_01,azure_gpt54_reasoning32_20260618_214045\gpt54_no_reasoning,u_000017_01,-4.086
90,89.3239,2,r_000017_01,s090_r02_u_000017_01,dataset_gpt54_no_reasoning_20k_20260619,u_000017_01,-0.6761
100,100.0,2,r_000017_01,s100_r02_u_000017_01,dataset_gpt54_no_reasoning_p5_20260619_part02,u_000017_01,0.0
40,56.3969,3,r_000013_01,s040_r03_u_000013_01,azure_gpt54_reasoning32_20260618_214045\gpt54_mini_reasoning_medium,u_000013_01,16.3969
50,56.3969,3,r_000013_01,s050_r03_u_000013_01,azure_gpt54_reasoning32_20260618_214045\gpt54_mini_reasoning_medium,u_000013_01,6.3969
60,56.3969,3,r_000013_01,s060_r03_u_000013_01,azure_gpt54_reasoning32_20260618_214045\gpt54_mini_reasoning_medium,u_000013_01,-3.6031
70,74.4723,3,r_000013_01,s070_r03_u_000013_01,azure_gpt54_reasoning32_20260618_214045\gpt54_no_reasoning,u_000013_01,4.4723
80,80.2524,3,r_000013_01,s080_r03_u_000013_01,dataset_gpt54_no_reasoning_p5_20260619_part01,u_000013_01,0.2524
90,90.8173,3,r_000013_01,s090_r03_u_000013_01,dataset_gpt54_no_reasoning_20k_20260619,u_000013_01,0.8173
100,100.0,3,r_000013_01,s100_r03_u_000013_01,dataset_gpt54_no_reasoning_p5_20260619_merged,u_000013_01,0.0
40,56.8435,4,r_000167_01,s040_r04_u_000167_01,dataset_gpt54_no_reasoning_p5_20260619_part02,u_000167_01,16.8435
50,56.8435,4,r_000167_01,s050_r04_u_000167_01,dataset_gpt54_no_reasoning_p5_20260619_part02,u_000167_01,6.8435
60,56.8435,4,r_000167_01,s060_r04_u_000167_01,dataset_gpt54_no_reasoning_p5_20260619_part02,u_000167_01,-3.1565
70,68.682,4,r_000167_01,s070_r04_u_000167_01,dataset_gpt54_no_reasoning_p5_20260619_part03,u_000167_01,-1.318
80,84.0173,4,r_000167_01,s080_r04_u_000167_01,dataset_gpt54_no_reasoning_20k_20260619,u_000167_01,4.0173
90,91.3644,4,r_000167_01,s090_r04_u_000167_01,dataset_gpt54_no_reasoning_p5_20260619_part01,u_000167_01,1.3644
100,100.0,4,r_000167_01,s100_r04_u_000167_01,dataset_gpt54_no_reasoning_p5_20260619_part04,u_000167_01,0.0
40,59.7747,5,r_000175_01,s040_r05_u_000175_01,dataset_gpt54_no_reasoning_p5_20260619_part03,u_000175_01,19.7747
50,59.7747,5,r_000175_01,s050_r05_u_000175_01,dataset_gpt54_no_reasoning_p5_20260619_part03,u_000175_01,9.7747
60,59.7747,5,r_000175_01,s060_r05_u_000175_01,dataset_gpt54_no_reasoning_p5_20260619_part03,u_000175_01,-0.2253
70,71.2479,5,r_000175_01,s070_r05_u_000175_01,dataset_gpt54_no_reasoning_p5_20260619_part04,u_000175_01,1.2479
80,77.4494,5,r_000175_01,s080_r05_u_000175_01,dataset_gpt54_no_reasoning_p5_20260619_merged,u_000175_01,-2.5506
90,100.0,5,r_000175_01,s090_r05_u_000175_01,dataset_gpt54_no_reasoning_p5_20260619_part02,u_000175_01,10.0
100,100.0,5,r_000175_01,s100_r05_u_000175_01,dataset_gpt54_no_reasoning_p5_20260619_part02,u_000175_01,0.0
40,60.5917,6,r_000016_01,s040_r06_u_000016_01,azure_gpt54_reasoning32_20260618_214045\gpt54_mini_no_reasoning,u_000016_01,20.5917
50,60.5917,6,r_000016_01,s050_r06_u_000016_01,azure_gpt54_reasoning32_20260618_214045\gpt54_mini_no_reasoning,u_000016_01,10.5917
60,60.5917,6,r_000016_01,s060_r06_u_000016_01,azure_gpt54_reasoning32_20260618_214045\gpt54_mini_no_reasoning,u_000016_01,0.5917
70,74.5814,6,r_000016_01,s070_r06_u_000016_01,azure_gpt54_reasoning32_20260618_214045\gpt54_mini_reasoning_medium,u_000016_01,4.5814
80,75.2811,6,r_000016_01,s080_r06_u_000016_01,dataset_gpt54_no_reasoning_p5_20260619_part04,u_000016_01,-4.7189
90,90.782,6,r_000016_01,s090_r06_u_000016_01,azure_gpt54_reasoning32_20260618_214045\gpt54_no_reasoning,u_000016_01,0.782
100,100.0,6,r_000016_01,s100_r06_u_000016_01,dataset_gpt54_no_reasoning_p5_20260619_part05,u_000016_01,0.0
40,60.9103,7,r_000150_01,s040_r07_u_000150_01,dataset_gpt54_no_reasoning_p5_20260619_part04,u_000150_01,20.9103
50,60.9103,7,r_000150_01,s050_r07_u_000150_01,dataset_gpt54_no_reasoning_p5_20260619_part04,u_000150_01,10.9103
60,60.9103,7,r_000150_01,s060_r07_u_000150_01,dataset_gpt54_no_reasoning_p5_20260619_part04,u_000150_01,0.9103
70,66.9146,7,r_000150_01,s070_r07_u_000150_01,dataset_gpt54_no_reasoning_p5_20260619_part02,u_000150_01,-3.0854
80,82.1832,7,r_000150_01,s080_r07_u_000150_01,dataset_gpt54_no_reasoning_p5_20260619_merged,u_000150_01,2.1832
90,82.1832,7,r_000150_01,s090_r07_u_000150_01,dataset_gpt54_no_reasoning_p5_20260619_merged,u_000150_01,-7.8168
100,100.0,7,r_000150_01,s100_r07_u_000150_01,dataset_gpt54_no_reasoning_p5_20260619_part03,u_000150_01,0.0
40,61.0979,8,r_000024_01,s040_r08_u_000024_01,azure_gpt54_reasoning32_20260618_214045\gpt54_mini_no_reasoning,u_000024_01,21.0979
50,61.0979,8,r_000024_01,s050_r08_u_000024_01,azure_gpt54_reasoning32_20260618_214045\gpt54_mini_no_reasoning,u_000024_01,11.0979
60,61.0979,8,r_000024_01,s060_r08_u_000024_01,azure_gpt54_reasoning32_20260618_214045\gpt54_mini_no_reasoning,u_000024_01,1.0979
70,70.4731,8,r_000024_01,s070_r08_u_000024_01,azure_gpt54_reasoning32_20260618_214045\gpt54_mini_reasoning_medium,u_000024_01,0.4731
80,81.6491,8,r_000024_01,s080_r08_u_000024_01,azure_gpt54_reasoning32_20260618_214045\gpt54_no_reasoning,u_000024_01,1.6491
90,88.975,8,r_000024_01,s090_r08_u_000024_01,dataset_gpt54_no_reasoning_p5_20260619_part02,u_000024_01,-1.025
100,100.0,8,r_000024_01,s100_r08_u_000024_01,dataset_gpt54_no_reasoning_20k_20260619,u_000024_01,0.0
40,62.2144,9,r_000220_01,s040_r09_u_000220_01,dataset_gpt54_no_reasoning_p5_20260619_merged,u_000220_01,22.2144
50,62.2144,9,r_000220_01,s050_r09_u_000220_01,dataset_gpt54_no_reasoning_p5_20260619_merged,u_000220_01,12.2144
60,62.2144,9,r_000220_01,s060_r09_u_000220_01,dataset_gpt54_no_reasoning_p5_20260619_merged,u_000220_01,2.2144
70,71.3213,9,r_000220_01,s070_r09_u_000220_01,dataset_gpt54_no_reasoning_p5_20260619_part01,u_000220_01,1.3213
80,83.3162,9,r_000220_01,s080_r09_u_000220_01,dataset_gpt54_no_reasoning_p5_20260619_part03,u_000220_01,3.3162
90,83.3162,9,r_000220_01,s090_r09_u_000220_01,dataset_gpt54_no_reasoning_p5_20260619_part03,u_000220_01,-6.6838
100,100.0,9,r_000220_01,s100_r09_u_000220_01,dataset_gpt54_no_reasoning_p5_20260619_part05,u_000220_01,0.0
40,62.2144,10,r_000213_01,s040_r10_u_000213_01,dataset_gpt54_no_reasoning_p5_20260619_part01,u_000213_01,22.2144
50,62.2144,10,r_000213_01,s050_r10_u_000213_01,dataset_gpt54_no_reasoning_p5_20260619_part01,u_000213_01,12.2144
60,62.2144,10,r_000213_01,s060_r10_u_000213_01,dataset_gpt54_no_reasoning_p5_20260619_part01,u_000213_01,2.2144
70,63.4921,10,r_000213_01,s070_r10_u_000213_01,dataset_gpt54_no_reasoning_p5_20260619_merged,u_000213_01,-6.5079
80,84.9946,10,r_000213_01,s080_r10_u_000213_01,dataset_gpt54_no_reasoning_p5_20260619_part03,u_000213_01,4.9946
90,88.8496,10,r_000213_01,s090_r10_u_000213_01,dataset_gpt54_no_reasoning_p5_20260619_part05,u_000213_01,-1.1504
100,100.0,10,r_000213_01,s100_r10_u_000213_01,dataset_gpt54_no_reasoning_p5_20260619_part02,u_000213_01,0.0
