metric,baseline,new_run,delta
overall_score,33.78586992130153,78.48336004208443,44.697490120782895
schema_valid_strict_rate,1.0,1.0,0.0
render_ok_rate,1.0,1.0,0.0
content_coverage_avg,0.9474325061942339,0.803743607491174,-0.1436888987030599
lint_score_avg,1.0,1.0,0.0
dup_rate_avg,0.26766256734369276,0.271417938361077,0.003755371017384268
component_count_avg,46.9,36.3,-10.600000000000001
unique_component_types_avg,5.4,7.4,2.0
information_chunking_score_avg,0.606083346552708,0.6301988034662085,0.024115456913500477
ui_modularity_score_avg,0.14745570112557552,0.2894042950161037,0.1419485938905282
ui_decomposition_score_avg,0.4381510779675078,0.6503763951828283,0.2122253172153205
action_coverage_rate,,,
url_as_text_rate,,,
table_pattern_detected_rate,0.4,0.1,-0.30000000000000004
table_cell_coverage_rate,,,
section_heading_coverage_rate,,,
markdown_leakage_rate,,,
dangling_components_rate,,,
missing_ids_rate,,,
intent_expectation_pass_rate,0.0,0.0,0.0
intent_score_avg,0.4,0.19999999999999998,-0.20000000000000004
