2026-03-31 19:12:06 INFO dataset: Generating stage3 for step=step2_v5_tuned prompt=C:\Users\anupk\Documents\git\A2UI\dataset\prompts\genui_gen_v5_tuned.md
2026-03-31 19:12:06 INFO dataset: Stage3 Gemini prompt mode=system_prefix system_tokens=4974 user_template_tokens=16
2026-03-31 19:12:55 INFO dataset: Stage3 created ui_id=u_001374_01 schema_ok=True
2026-03-31 19:13:53 INFO dataset: Stage3 created ui_id=u_000264_01 schema_ok=True
2026-03-31 19:14:58 INFO dataset: Stage3 created ui_id=u_000701_01 schema_ok=True
2026-03-31 19:16:00 INFO dataset: Stage3 created ui_id=u_000175_01 schema_ok=True
2026-03-31 19:16:54 INFO dataset: Stage3 created ui_id=u_000090_01 schema_ok=True
2026-03-31 19:17:42 INFO dataset: Stage3 created ui_id=u_001047_01 schema_ok=True
2026-03-31 19:18:31 INFO dataset: Stage3 created ui_id=u_000784_01 schema_ok=True
2026-03-31 19:19:13 INFO dataset: Stage3 created ui_id=u_000351_01 schema_ok=True
2026-03-31 19:19:55 INFO dataset: Stage3 created ui_id=u_001502_01 schema_ok=True
2026-03-31 19:20:34 INFO dataset: Stage3 created ui_id=u_001590_01 schema_ok=True
2026-03-31 19:20:34 INFO dataset: Stage3 completed created=10
2026-03-31 19:20:34 INFO dataset: Stage3 aggregates stored at C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset10_g3pro_iconcatalog_headings_20260216_091411_ir_step02_step2_v5_tuned\aggregates.json
2026-03-31 19:51:55 INFO dataset: Reusing existing stage3 output for step=step2_v5_tuned (C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset10_g3pro_iconcatalog_headings_20260216_091411_ir_step02_step2_v5_tuned\genui.jsonl)
2026-03-31 19:51:55 INFO dataset: Rendering step=step2_v5_tuned viewport={'width': 412, 'height': 915} emulate_mobile=True workers=1
2026-03-31 19:51:55 INFO dataset: Stage4 HTTP server started on port 60008
2026-03-31 20:10:30 INFO dataset: Generating stage3 for step=step2_v5_tuned prompt=C:\Users\anupk\Documents\git\A2UI\dataset\prompts\genui_gen_v5_tuned.md
2026-03-31 20:18:24 ERROR dataset: Stage3 rate limit info: limits={'rpm': None, 'tpm': None, 'rpd': None, 'note': 'set per your OpenAI account tier'} headers=none
2026-03-31 20:18:24 ERROR dataset: Stage3 generation error response_id=r_001374_01: rate limit hit provider=openai model=gpt-4o-mini limits={'rpm': None, 'tpm': None, 'rpd': None, 'note': 'set per your OpenAI account tier'} headers=none
2026-03-31 20:26:17 ERROR dataset: Stage3 rate limit info: limits={'rpm': None, 'tpm': None, 'rpd': None, 'note': 'set per your OpenAI account tier'} headers=none
2026-03-31 20:26:17 ERROR dataset: Stage3 generation error response_id=r_000264_01: rate limit hit provider=openai model=gpt-4o-mini limits={'rpm': None, 'tpm': None, 'rpd': None, 'note': 'set per your OpenAI account tier'} headers=none
2026-03-31 20:34:10 ERROR dataset: Stage3 rate limit info: limits={'rpm': None, 'tpm': None, 'rpd': None, 'note': 'set per your OpenAI account tier'} headers=none
2026-03-31 20:34:10 ERROR dataset: Stage3 generation error response_id=r_000701_01: rate limit hit provider=openai model=gpt-4o-mini limits={'rpm': None, 'tpm': None, 'rpd': None, 'note': 'set per your OpenAI account tier'} headers=none
2026-03-31 20:42:06 ERROR dataset: Stage3 rate limit info: limits={'rpm': None, 'tpm': None, 'rpd': None, 'note': 'set per your OpenAI account tier'} headers=none
2026-03-31 20:42:06 ERROR dataset: Stage3 generation error response_id=r_000175_01: rate limit hit provider=openai model=gpt-4o-mini limits={'rpm': None, 'tpm': None, 'rpd': None, 'note': 'set per your OpenAI account tier'} headers=none
2026-03-31 20:49:57 ERROR dataset: Stage3 rate limit info: limits={'rpm': None, 'tpm': None, 'rpd': None, 'note': 'set per your OpenAI account tier'} headers=none
2026-03-31 20:49:57 ERROR dataset: Stage3 generation error response_id=r_000090_01: rate limit hit provider=openai model=gpt-4o-mini limits={'rpm': None, 'tpm': None, 'rpd': None, 'note': 'set per your OpenAI account tier'} headers=none
2026-03-31 20:57:50 ERROR dataset: Stage3 rate limit info: limits={'rpm': None, 'tpm': None, 'rpd': None, 'note': 'set per your OpenAI account tier'} headers=none
2026-03-31 20:57:50 ERROR dataset: Stage3 generation error response_id=r_001047_01: rate limit hit provider=openai model=gpt-4o-mini limits={'rpm': None, 'tpm': None, 'rpd': None, 'note': 'set per your OpenAI account tier'} headers=none
