step,variant,score,strict_parses,rows,conditional_legacy_coverage,all_row_legacy_coverage,count_at_40
0,reference_target,88.56267002319798,32,32,0.9585057793473011,0.9585057793473011,0
5000,raw,17.52500253069642,8,32,0.8517686498040962,0.21294216245102404,1
5000,stop_only,20.053027087006228,9,32,0.8331770714308014,0.23433105133991292,1
5000,stop_plus_id_repair,60.25368067231866,32,32,0.9047294752185799,0.9047294752185799,15
10000,raw,26.287042863499888,12,32,0.934272248546983,0.3503520932051186,3
10000,stop_only,29.94207565482893,14,32,0.9261572785563297,0.4051938093683942,4
10000,stop_plus_id_repair,61.44322488272432,27,32,0.9409506807605341,0.7939271368917007,6
15000,raw,31.58060780336201,14,32,0.9392459325950195,0.41092009551032105,3
15000,stop_only,40.0169121629972,18,32,0.9321131864392096,0.5243136673720554,5
15000,stop_plus_id_repair,66.42681239504367,30,32,0.9372379801432384,0.878660606384286,9
20000,raw,8.805598188493274,4,32,0.9376088484645427,0.11720110605806784,1
20000,stop_only,59.798062966626034,27,32,0.9216970542618056,0.7776818895333985,7
20000,stop_plus_id_repair,65.42306296662603,30,32,0.9226451660009151,0.8649798431258579,8
