component,train_rows,val_rows,train_hash_url_length_screened_rows,val_hash_url_length_screened_rows,golden32_rows,golden35_rows
AudioPlayer,4,0,4,0,0,0
Button,134504,823,133385,816,29,28
Card,148706,901,146827,894,32,35
CheckBox,163,1,160,1,0,0
ChoicePicker,70,2,70,2,0,0
CodeBlock,594,5,575,5,0,0
ConsoleLog,500,2,496,2,0,0
Divider,1696,11,1684,11,0,1
EmailPreview,277,1,277,1,1,0
Formula,18689,124,18636,124,3,1
Icon,147340,887,145521,880,31,28
Image,3294,25,3203,25,0,12
List,3,0,3,0,0,0
Slider,112,1,112,1,0,0
Stack,150292,910,148318,903,32,35
Table,147555,889,145603,882,32,26
Tabs,3550,18,3486,18,1,0
Text,150282,910,148308,903,32,35
TextField,88,1,88,1,0,0
Video,1,0,1,0,0,0
