split,line,source_sha256,flagged_semantic_sha256,reasons,screened_sibling_coordinates,screened_sibling_splits,screened_sibling_semantic_targets,same_split_screened_siblings,same_split_semantic_targets
train,1,1e7874dd77694163820e13213864259dc407b329d3a40673aa0886f34e290900,22bc67fbcfb6a59d288869fed622faa498e4d35859a975d36e9dc42a4bd42f44,mojibake|placeholder|missing_action,train:18,train,1,1,1
train,65,04c1d42bf9721969eb6ac8c473c757fb52c73618bc0e703b070ce9fa29279a6d,368ebd171a6b87c399be861c9e8781cc43fbf2b0d7b2be9301b55459711b9cc0,placeholder,train:475,train,1,1,1
train,2600,42ba917506b480eaae470875487cba47b0212008905b308cfd028d71a8d95aa3,fc0e29d6df5f5f46e311aa44dfc8475b06b7d1828c15d36219bb69ae4ff2011a,mojibake,train:38047,train,1,1,1
train,37835,ed363780a7d9a522a923775e0d37eaf071f50023272cd3af8eab11f0db0e333f,b79471cfcddb1275e2db1fcfadd22b7ac95b2716cb082c38ac1578794fadebe2,mojibake,train:2382,train,1,1,1
train,41158,9800b3583c3a3227b3a87c54c0e27ab7dbb11d5eb8bc3d4950418241716f8451,6dfddf85a5f7b0fda89eb75bd68f1f6d187295420b778e811fa00a26ab0c8ea7,placeholder,train:37565,train,1,1,1
train,42011,0741a2a0fd36fe972642937565124005b17c93a4443d088d6a1fbb1d55a98733,4377bce323ddef41fd8ff7be84b74e9f04f1a86ac6be847270cc2be61ef83ac4,placeholder,train:53157,train,1,1,1
train,42544,e3f568d4514d63c528f18776613eee0d9e0df024ccbcc5c93c6d370782180823,8bb6e1c05c301930936459da0457a7c2c586dbe18e1602391ec18af5aa9a59cc,placeholder,train:53630,train,1,1,1
train,43552,7ebd3b2ae2933446def9a8a7e89a7e10874c53df031a21cb1947d06fa20a6ae5,1c89041996d861aec91b0d3c47a926505d8e7606a34f2b4ca0d268744a61111e,placeholder,train:54523,train,1,1,1
train,43574,f0ba9a44f299a4e569babf9866b211923eeb2567cdeb9b9f2ddf9dcaecea6bce,064b5a606f1c30cac9de8ffbfb85ce261bc216883e77d6c52c8c900d0a97e3fc,placeholder,train:54535,train,1,1,1
train,55387,f868795bb88aeb0420ea03e5008266b5de975897119e653d35496be69855f2c4,ff33e9eb3d4999a6ed986e3be627cf761e46bc85fb421587dff4d2e8cfe230f9,placeholder,train:53052,train,1,1,1
train,55396,3bedb0dd478e6b6e00aebd8877c516f6d9afd13aa98c8439e3b98fc533058fe2,6972290bc9c95038f8e58b0368a82c3ec5e16688abdd1dd7d759bff83f4480dc,placeholder,train:53060,train,1,1,1
train,79807,3dcc1a8f0c8ecfb2df422b0f5ffd4a41f476d0ccd8c7362e073a8eb57a8d865a,5a29fe0f22daad5fc16f3ddb1103823bf34d1949fd88c6fa014bb320ddc0a737,mojibake,train:98918,train,1,1,1
train,79855,642a5d168c696fea418a9f7eb2b5525dfd2f42e59a7735fc7210cd6b2e8ee70a,46169885cf6b2fa408b06a76185f8eece7847f2f94a572cf83ece5995bf83126,mojibake,train:98963,train,1,1,1
train,80176,c56de96c415b26b0dd1b31e2381499b3e23d3b6541c189a44e1127d892774673,39fde51a831724609fae49cd0807cef0c465cad31500eefefb73d68e297c2f07,empty_layout,train:99283|train:123910,train,2,2,2
train,98923,9fc07bf102edc8f9da38ae26bf83ff790a79d135563f614ae62548d7887c81c8,ae25610db1bb84e7ef4b556efdd7a278ab4a991b9228b3f1b0ec558b133a37b7,mojibake,train:123596,train,1,1,1
train,99101,1fcd23febdc6e300b663ac3985ccd2f47ab7d947860c1909d773503b5da59758,75bf504878d5a0579fcfc504e75332db282cbf48b02a24d01cb58c85d3aefd32,mojibake,train:123724,train,1,1,1
train,99121,515d3b2be89cc279bfdfaa4898253ee2e9ea41901396f9841904d540dee92cbe,4df7a22fb19108060bdfc84f854f6f3674acbe236ec71af1eeb8dd07ddf0dc07,mojibake,train:123745,train,1,1,1
train,99122,9cf00736f66c9ab9e3e094939879e6b8b6098cad13a4791c506713651e471064,b6439f3f7a278bf364c9272afaea50f547f1a20fdb9af52a999e1923aeb6468b,mojibake,train:123746,train,1,1,1
train,99131,9276a2869adc7493f03b17471f77182cb10b9d5604597888e641e8a967271998,663bf010beca68875024c054f2da4c30091b196e7a965b793b9896d692cb43db,empty_layout,train:123756,train,1,1,1
train,99135,4007b2e5dbc8252e02ea86c390dc535d08c0ed591600de5bc9c739f46a4c2221,fc5e401189aa2e123e6672083350457169c17e91028a86433e728b758b5fbedb,mojibake,train:123761,train,1,1,1
train,99155,f6878b2e2ef295aa3197194ac7cb19ee4eb0ceab5062192cc738f35156365475,e8d338868b46d3dac74052b9f96396b3b6196b28005667910133a7a31659d312,mojibake,train:123781,train,1,1,1
train,99199,877a490bf5eb98ebab9b18973d8bcd1137a1552fda55446b0a39c7891651de0f,b382f8f7e3cb14ddd379bea48c0c5329098e0f45af80d97ea21a5fd7b607ba7c,mojibake,train:80089|train:123826,train,2,2,2
train,99211,18f93d8e7289b33ad7b41de2967a1e5d21ecdf20b8ac9c54d61acf776f4518db,47e0d5057ec2d05a382fb808042a7ebdc00f30a3015cedbc06219a928c2dea63,mojibake,train:123836,train,1,1,1
train,99239,dec2db9ac46686dcbc2fe94c49172a7171f6f4531fc8b700398c3cd317d26b8c,3ba47ddd0cda4d22725481f2a224cd871207b563a274866f86c982602d834590,missing_numeric,train:123863,train,1,1,1
train,99292,cf7c3d993b49a6bed43b6dc5f5815e60e2a405b19320a8053bd4d557b0de14c6,4233231601a7e6e35cc53be938f560f73c235ae6233c47ede4a64a035c465d71,mojibake,train:123920,train,1,1,1
train,99296,6e1ddffa55e283ac2792eddae03f327fe1c8b7b89064bf16c70cdcb13acd09b2,825f90deb38cc5141447d109f7b8423627728ebf201ba1fd334e5cd9e1ebcb43,empty_layout,train:80189,train,1,1,1
train,99310,dcc83073c99dd7dbc6ea5c2df0e2471f6c27eed20b937d1d468ea8a00b633950,d095768b2b71e9e3b8975044b9206854bf238d10f50182734ce976e18684adf0,mojibake,train:123941,train,1,1,1
train,99325,19c512a527186e97850894c69bfbaf56ed35dad89de3e29f391f74978038e076,e2eb1159e2eac1450761954bb0486747c4184a42adcae745a5b14939b1f65e07,empty_layout,train:123957,train,1,1,1
train,99437,53c2bacd4bad6803cf34e8161c4adced0eef6b945120ddea9ed6c85d58e35cc0,00754588a6f7473b0cdadde40e8f029102dbdb2cc5da7201bc2c9c5a0e5b550b,mojibake,train:124067,train,1,1,1
train,99486,0c8d9b3d034a041c5b51d2d2ac1821995c1d59a305d321460ede731dedf7bb19,77db49d97e43f0ba0db9921c796d4d85fe1b8547dc66fb1156c6a887a3df4cb4,missing_action,train:124114,train,1,1,1
train,99487,aa17c233c665670395b59c5c6383cefd2533ac2cfe2bd652106a68180547b5fc,d60c06a50ac1ae48c5256573b3180118e2bedebffcda30c43602d2ebf6d7bd4f,low_lexical,train:124115,train,1,1,1
train,99506,4cfc9006cde866b74d9d08ab85079e96c1b92bf1bf314fd4d859ab7cba1ae442,485e79728e9c76db2c244e253819d6b0e4a62198538250b85e4e9bd7e15fcc2d,mojibake,train:124136,train,1,1,1
train,99534,3b1485ed678af5e433bb9335a47e0cfb1a9c212cd6855a6112e225f7333ab194,fd0f2a2f76448fb8c52e14ee7052ee1a94879e2ff63fb0ce441731d56195188e,mojibake,train:124165,train,1,1,1
